Category,Approach,Exact Match Mean,Exact Match Std,Exact Match CI95 Low,Exact Match CI95 High,Exact Match p-value vs Best,Partial Match Mean,Run Success Rate,Available
rule_based,Rule-Based IE,0.6427777777777778,0.0,0.6427777777777778,0.6427777777777778,1.8296295167217222e-10,0.7105072751322751,1.0,True
classical_ml,Classical ML (CRF-style),0.195,0.0,0.195,0.195,9.875365971579619e-119,0.26775925925925925,1.0,True
tree_based,Tree-Based (XGBoost),0.15944444444444444,0.0,0.15944444444444444,0.15944444444444444,1.4771413722979943e-132,0.24977579365079366,1.0,True
rnn_lstm,RNN/LSTM,0.003333333333333333,0.0005555555555555554,0.0025633726160413147,0.0041032940506253515,2.7040353623504216e-202,0.4301742724867725,1.0,True
cnn,CNN Sequence,0.08666666666666667,0.0011111111111111113,0.08512674523208263,0.0882065881012507,5.581943525553412e-163,0.5045112433862434,1.0,True
transformer_scratch,Transformer (Scratch),0.0038888888888888888,0.0038888888888888888,-0.0015008361321552392,0.009278613909933016,6.0987694922527235e-198,0.2659087301587301,1.0,True
pretrained_transformer,Pretrained Transformer (BERT),0.8127777777777778,0.026666666666666672,0.775819663347761,0.8497358922077947,1.0,0.8197916666666667,1.0,True
llm_prompting,Prompt-Based LLM,0.6866666666666666,0.0,0.6866666666666666,0.6866666666666666,2.2544326173244666e-06,0.7559530423280424,1.0,True
hybrid,N/A,,,,,,,0.0,False
systems,N/A,,,,,,,0.0,False
