Category,Approach,NDCG@10 Mean,NDCG@10 Std,NDCG@10 CI95 Low,NDCG@10 CI95 High,NDCG@10 p-value vs Best,Recall@10 Mean,MRR Mean,Run Success Rate,Available
popularity,Popularity-Based,0.01874058755165774,0.0,0.01874058755165774,0.01874058755165774,,0.43780952380952387,0.01752176272791045,1.0,True
collaborative_filtering,User-Based CF,0.014784002624489137,0.0,0.014784002624489137,0.014784002624489137,,0.43441904761904765,0.015228218373596523,1.0,True
content_based,N/A,,,,,,,,0.0,False
matrix_factorization,Matrix Factorization (SVD),0.025151919692192326,0.0,0.025151919692192326,0.025151919692192326,1.0,0.45380952380952383,0.023907499449295114,1.0,True
deep_learning,N/A,,,,,,,,0.0,False
sequence,N/A,,,,,,,,0.0,False
graph,N/A,,,,,,,,0.0,False
transformer,N/A,,,,,,,,0.0,False
hybrid,N/A,,,,,,,,0.0,False
systems,N/A,,,,,,,,0.0,False
