Category,Approach,RMSE Mean,RMSE Std,RMSE CI95 Low,RMSE CI95 High,RMSE p-value vs Best,MAE Mean,MASE Mean,Run Success Rate,Available
statistical,N/A,,,,,,,,0.0,False
exponential_smoothing,Exponential Smoothing,67.33144129252936,0.0,67.33144129252936,67.33144129252936,,58.17696924521741,30.44136804049133,1.0,True
tree,Tree-Based (XGBoost),0.4410363604034135,0.0,0.4410363604034135,0.4410363604034135,1.0,0.3516951425581684,0.18402610881188852,1.0,True
rnn_lstm,N/A,,,,,,,,0.0,False
cnn,N/A,,,,,,,,0.0,False
transformer,N/A,,,,,,,,0.0,False
prophet_style,N/A,,,,,,,,0.0,False
ensemble,N/A,,,,,,,,0.0,False
hybrid,N/A,,,,,,,,0.0,False
systems,N/A,,,,,,,,0.0,False
